Car Name;Model Year;Acceleration;Cylinders;Displacement;Horsepower;Mpg;Number of Records;Origin;Weight
chevrolet chevelle malibu;70;12;8;307;130;18;1;1;3504
buick skylark 320;70;11,5;8;350;165;15;1;1;3693
plymouth satellite;70;11;8;318;150;18;1;1;3436
amc rebel sst;70;12;8;304;150;16;1;1;3433
ford torino;70;10,5;8;302;140;17;1;1;3449
ford galaxie 500;70;10;8;429;198;15;1;1;4341
chevrolet impala;70;9;8;454;220;14;1;1;4354
plymouth fury iii;70;8,5;8;440;215;14;1;1;4312
pontiac catalina;70;10;8;455;225;14;1;1;4425
amc ambassador dpl;70;8,5;8;390;190;15;1;1;3850
dodge challenger se;70;10;8;383;170;15;1;1;3563
plymouth 'cuda 340;70;8;8;340;160;14;1;1;3609
chevrolet monte carlo;70;9,5;8;400;150;15;1;1;3761
buick estate wagon (sw);70;10;8;455;225;14;1;1;3086
toyota corona mark ii;70;15;4;113;95;24;1;3;2372
plymouth duster;70;15,5;6;198;95;22;1;1;2833
amc hornet;70;15,5;6;199;97;18;1;1;2774
ford maverick;70;16;6;200;85;21;1;1;2587
datsun pl510;70;14,5;4;97;88;27;1;3;2130
volkswagen 1131 deluxe sedan;70;20,5;4;97;46;26;1;2;1835
peugeot 504;70;17,5;4;110;87;25;1;2;2672
audi 100 ls;70;14,5;4;107;90;24;1;2;2430
saab 99e;70;17,5;4;104;95;25;1;2;2375
bmw 2002;70;12,5;4;121;113;26;1;2;2234
amc gremlin;70;15;6;199;90;21;1;1;2648
ford f250;70;14;8;360;215;10;1;1;4615
chevy c20;70;15;8;307;200;10;1;1;4376
dodge d200;70;13,5;8;318;210;11;1;1;4382
hi 1200d;70;18,5;8;304;193;9;1;1;4732
datsun pl510;71;14,5;4;97;88;27;1;3;2130
chevrolet vega 2300;71;15,5;4;140;90;28;1;1;2264
toyota corona;71;14;4;113;95;25;1;3;2228
ford pinto;71;19;4;98;;25;1;1;2046
amc gremlin;71;13;6;232;100;19;1;1;2634
plymouth satellite custom;71;15,5;6;225;105;16;1;1;3439
chevrolet chevelle malibu;71;15,5;6;250;100;17;1;1;3329
ford torino 500;71;15,5;6;250;88;19;1;1;3302
amc matador;71;15,5;6;232;100;18;1;1;3288
chevrolet impala;71;12;8;350;165;14;1;1;4209
pontiac catalina brougham;71;11,5;8;400;175;14;1;1;4464
ford galaxie 500;71;13,5;8;351;153;14;1;1;4154
plymouth fury iii;71;13;8;318;150;14;1;1;4096
dodge monaco (sw);71;11,5;8;383;180;12;1;1;4955
ford country squire (sw);71;12;8;400;170;13;1;1;4746
pontiac safari (sw);71;12;8;400;175;13;1;1;5140
amc hornet sportabout (sw);71;13,5;6;258;110;18;1;1;2962
chevrolet vega (sw);71;19;4;140;72;22;1;1;2408
pontiac firebird;71;15;6;250;100;19;1;1;3282
ford mustang;71;14,5;6;250;88;18;1;1;3139
mercury capri 2000;71;14;4;122;86;23;1;1;2220
opel 1900;71;14;4;116;90;28;1;2;2123
peugeot 304;71;19,5;4;79;70;30;1;2;2074
fiat 124b;71;14,5;4;88;76;30;1;2;2065
toyota corolla 1200;71;19;4;71;65;31;1;3;1773
datsun 1200;71;18;4;72;69;35;1;3;1613
volkswagen model 111;71;19;4;97;60;27;1;2;1834
plymouth cricket;71;20,5;4;91;70;26;1;1;1955
toyota corona hardtop;72;15,5;4;113;95;24;1;3;2278
dodge colt hardtop;72;17;4;97,5;80;25;1;1;2126
volkswagen type 3;72;23,5;4;97;54;23;1;2;2254
chevrolet vega;72;19,5;4;140;90;20;1;1;2408
ford pinto runabout;72;16,5;4;122;86;21;1;1;2226
chevrolet impala;72;12;8;350;165;13;1;1;4274
pontiac catalina;72;12;8;400;175;14;1;1;4385
plymouth fury iii;72;13,5;8;318;150;15;1;1;4135
ford galaxie 500;72;13;8;351;153;14;1;1;4129
amc ambassador sst;72;11,5;8;304;150;17;1;1;3672
mercury marquis;72;11;8;429;208;11;1;1;4633
buick lesabre custom;72;13,5;8;350;155;13;1;1;4502
oldsmobile delta 88 royale;72;13,5;8;350;160;12;1;1;4456
chrysler newport royal;72;12,5;8;400;190;13;1;1;4422
mazda rx2 coupe;72;13,5;3;70;97;19;1;3;2330
amc matador (sw);72;12,5;8;304;150;15;1;1;3892
chevrolet chevelle concours (sw);72;14;8;307;130;13;1;1;4098
ford gran torino (sw);72;16;8;302;140;13;1;1;4294
plymouth satellite custom (sw);72;14;8;318;150;14;1;1;4077
volvo 145e (sw);72;14,5;4;121;112;18;1;2;2933
volkswagen 411 (sw);72;18;4;121;76;22;1;2;2511
peugeot 504 (sw);72;19,5;4;120;87;21;1;2;2979
renault 12 (sw);72;18;4;96;69;26;1;2;2189
ford pinto (sw);72;16;4;122;86;22;1;1;2395
datsun 510 (sw);72;17;4;97;92;28;1;3;2288
toyouta corona mark ii (sw);72;14,5;4;120;97;23;1;3;2506
dodge colt (sw);72;15;4;98;80;28;1;1;2164
toyota corolla 1600 (sw);72;16,5;4;97;88;27;1;3;2100
buick century 350;73;13;8;350;175;13;1;1;4100
amc matador;73;11,5;8;304;150;14;1;1;3672
chevrolet malibu;73;13;8;350;145;13;1;1;3988
ford gran torino;73;14,5;8;302;137;14;1;1;4042
dodge coronet custom;73;12,5;8;318;150;15;1;1;3777
mercury marquis brougham;73;11,5;8;429;198;12;1;1;4952
chevrolet caprice classic;73;12;8;400;150;13;1;1;4464
ford ltd;73;13;8;351;158;13;1;1;4363
plymouth fury gran sedan;73;14,5;8;318;150;14;1;1;4237
chrysler new yorker brougham;73;11;8;440;215;13;1;1;4735
buick electra 225 custom;73;11;8;455;225;12;1;1;4951
amc ambassador brougham;73;11;8;360;175;13;1;1;3821
plymouth valiant;73;16,5;6;225;105;18;1;1;3121
chevrolet nova custom;73;18;6;250;100;16;1;1;3278
amc hornet;73;16;6;232;100;18;1;1;2945
ford maverick;73;16,5;6;250;88;18;1;1;3021
plymouth duster;73;16;6;198;95;23;1;1;2904
volkswagen super beetle;73;21;4;97;46;26;1;2;1950
chevrolet impala;73;14;8;400;150;11;1;1;4997
ford country;73;12,5;8;400;167;12;1;1;4906
plymouth custom suburb;73;13;8;360;170;13;1;1;4654
oldsmobile vista cruiser;73;12,5;8;350;180;12;1;1;4499
amc gremlin;73;15;6;232;100;18;1;1;2789
toyota carina;73;19;4;97;88;20;1;3;2279
chevrolet vega;73;19,5;4;140;72;21;1;1;2401
datsun 610;73;16,5;4;108;94;22;1;3;2379
maxda rx3;73;13,5;3;70;90;18;1;3;2124
ford pinto;73;18,5;4;122;85;19;1;1;2310
mercury capri v6;73;14;6;155;107;21;1;1;2472
fiat 124 sport coupe;73;15,5;4;98;90;26;1;2;2265
chevrolet monte carlo s;73;13;8;350;145;15;1;1;4082
pontiac grand prix;73;9,5;8;400;230;16;1;1;4278
